,Seed,NeuronType,MFs,Train_Acc.,Train_F1,Train_Rec.,Train_Prec.,Train_Spec.,Test_Acc.,Test_F1,Test_Rec.,Test_Prec.,Test_Spec.,time
0,0,andneuron_prod-probsum,2,0.74,0.74,0.74,0.74,0.862,0.685,0.685,0.685,0.685,0.836,1.5953726768493652
1,0,orneuron_probsum-prod,2,0.748,0.748,0.748,0.748,0.866,0.679,0.679,0.679,0.679,0.833,1.2325875759124756
2,1,andneuron_prod-probsum,2,0.728,0.728,0.728,0.728,0.855,0.649,0.649,0.649,0.649,0.817,1.5073750019073486
3,1,orneuron_probsum-prod,2,0.746,0.746,0.746,0.746,0.865,0.685,0.685,0.685,0.685,0.836,1.2299983501434326
4,2,andneuron_prod-probsum,2,0.731,0.731,0.731,0.731,0.857,0.675,0.675,0.675,0.675,0.83,1.479990005493164
5,2,orneuron_probsum-prod,2,0.746,0.746,0.746,0.746,0.865,0.692,0.692,0.692,0.692,0.839,1.131230354309082
6,3,andneuron_prod-probsum,2,0.729,0.729,0.729,0.729,0.856,0.682,0.682,0.682,0.682,0.834,1.56858491897583
7,3,orneuron_probsum-prod,2,0.745,0.745,0.745,0.745,0.864,0.689,0.689,0.689,0.689,0.838,1.1352546215057373
8,4,andneuron_prod-probsum,2,0.738,0.738,0.738,0.738,0.861,0.662,0.662,0.662,0.662,0.825,1.4196245670318604
9,4,orneuron_probsum-prod,2,0.746,0.746,0.746,0.746,0.865,0.692,0.692,0.692,0.692,0.839,1.1418297290802002
10,5,andneuron_prod-probsum,2,0.718,0.718,0.718,0.718,0.85,0.652,0.652,0.652,0.652,0.821,1.4194660186767578
11,5,orneuron_probsum-prod,2,0.749,0.749,0.749,0.749,0.866,0.672,0.672,0.672,0.672,0.829,1.1413886547088623
12,6,andneuron_prod-probsum,2,0.763,0.763,0.763,0.763,0.873,0.692,0.692,0.692,0.692,0.839,1.415252447128296
13,6,orneuron_probsum-prod,2,0.748,0.748,0.748,0.748,0.865,0.692,0.692,0.692,0.692,0.839,1.1286325454711914
14,7,andneuron_prod-probsum,2,0.738,0.738,0.738,0.738,0.861,0.682,0.682,0.682,0.682,0.835,1.4052767753601074
15,7,orneuron_probsum-prod,2,0.745,0.745,0.745,0.745,0.863,0.675,0.675,0.675,0.675,0.83,1.1483383178710938
