Seed,NeuronType,MFs,Train_Acc.,Test_Acc.,Train_F1,Test_F1,time
0,andneuron_prod-probsum,2,0.649,0.715,0.634,0.822,24.91899800300598
1,andneuron_prod-probsum,3,0.65,0.73,0.634,0.833,59.42391395568848
2,andneuron_prod-probsum,3,0.65,0.73,0.634,0.833,62.01145601272583
2,orneuron_probsum-prod,4,0.649,0.701,0.625,0.811,110.56340980529785
4,andneuron_prod-probsum,3,0.649,0.723,0.633,0.827,78.7673888206482
4,orneuron_probsum-prod,4,0.649,0.701,0.629,0.811,98.22002482414246
0,andneuron_prod-probsum,3,0.65,0.73,0.634,0.833,189.89059019088745
3,orneuron_probsum-prod,2,0.649,0.73,0.632,0.833,14.520732879638672
3,orneuron_probsum-prod,3,0.65,0.73,0.634,0.833,48.43958401679993
4,andneuron_prod-probsum,2,0.649,0.708,0.632,0.818,23.613457918167114
4,orneuron_probsum-prod,2,0.651,0.715,0.634,0.822,15.508620738983154
4,orneuron_probsum-prod,3,0.65,0.723,0.634,0.829,48.922417879104614
0,andneuron_prod-probsum,4,0.649,0.701,0.627,0.811,431.0566110610962
0,orneuron_probsum-prod,2,0.65,0.686,0.63,0.802,20.289520263671875
1,orneuron_probsum-prod,2,0.649,0.723,0.631,0.829,11.86229395866394
1,orneuron_probsum-prod,3,0.65,0.73,0.635,0.833,37.699623823165894
2,andneuron_prod-probsum,2,0.648,0.723,0.63,0.827,17.84367060661316
2,andneuron_prod-probsum,4,0.65,0.701,0.626,0.811,161.88515090942383
4,andneuron_prod-probsum,4,0.649,0.701,0.624,0.811,168.10575604438782
0,orneuron_probsum-prod,4,0.649,0.701,0.625,0.811,365.5532171726227
0,orneuron_probsum-prod,3,0.65,0.73,0.634,0.833,94.70086216926575
2,orneuron_probsum-prod,2,0.65,0.73,0.632,0.833,12.29390811920166
2,orneuron_probsum-prod,3,0.65,0.73,0.634,0.833,37.99753713607788
3,andneuron_prod-probsum,2,0.648,0.708,0.634,0.82,19.465109825134277
3,andneuron_prod-probsum,4,0.649,0.701,0.626,0.811,182.68163108825684
1,andneuron_prod-probsum,2,0.649,0.715,0.633,0.822,45.56836199760437
1,orneuron_probsum-prod,4,0.649,0.686,0.621,0.8,95.90616297721863
3,andneuron_prod-probsum,3,0.65,0.73,0.634,0.833,70.80465984344482
3,orneuron_probsum-prod,4,0.649,0.686,0.622,0.8,120.07689595222473
1,andneuron_prod-probsum,4,0.649,0.701,0.626,0.811,426.9146499633789
